auc_positive_high,cohen_d,comparison,family,feature,mean_diff,negative_count,negative_mean,positive_count,positive_mean
0.7272877109704642,0.9580190570536656,stable_correct_vs_stable_hallucination,stability,cluster_size,1.9241824894514767,158,5.39873417721519,192,7.322916666666667
0.7249967035864979,0.9746743817264388,stable_correct_vs_stable_hallucination,stability,cluster_weight_mass,0.2343745119736066,158,0.6888486825124738,192,0.9232231944860804
0.7073444092827004,0.8903868798934528,stable_correct_vs_stable_hallucination,stability,stable_score,0.09783132387546845,158,0.5781361834887857,192,0.6759675073642541
0.38218618143459915,-0.6451141752263372,stable_correct_vs_stable_hallucination,stability,low_entropy_score,-0.18708706212026874,158,0.33586889862921016,192,0.14878183650894142
0.27434401371308015,-0.9350466397760507,stable_correct_vs_stable_hallucination,stability,fragmentation_entropy,-0.5249433405583134,158,0.7224742546481643,192,0.19753091408985093
0.2695971782700422,-1.0120512529375614,stable_correct_vs_stable_hallucination,stability,normalized_fragmentation_entropy,-0.3623071881678763,158,0.5180417072953297,192,0.15573451912745342
0.2794040084388186,-0.9350466397760506,stable_correct_vs_stable_hallucination,stability,semantic_entropy_weighted_set,-0.5249433405583133,158,0.7224742546481642,192,0.19753091408985093
0.28096980485232065,-0.8493148851496761,stable_correct_vs_stable_hallucination,stability,semantic_clusters_set,-1.4345332278481013,158,3.0126582278481013,192,1.578125
0.6770668512658228,0.6670752238739789,stable_correct_vs_stable_hallucination,geometry,centroid_entropy_z,0.20599420693045628,158,-0.30382143044610815,192,-0.09782722351565186
0.5085541930379747,0.16831671765940262,stable_correct_vs_stable_hallucination,geometry,centroid_max_entropy_z,0.03999819256496126,158,-0.10642760080360499,192,-0.06642940823864373
0.36822587025316456,-0.7010584529714734,stable_correct_vs_stable_hallucination,geometry,centroid_logprob_z,-0.22925385626244632,158,0.3389460256201586,192,0.10969216935771225
0.5279865506329114,0.022516579976327816,stable_correct_vs_stable_hallucination,geometry,centroid_len_z,0.007368125887083438,158,-0.06277383614232135,192,-0.05540571025523791
0.3695938818565401,-0.5478205706680788,stable_correct_vs_stable_hallucination,geometry,distance_to_sample0_entropy_logprob,-0.47427432612023035,158,0.646142924634832,192,0.17186859851460168
0.7323477056962026,1.0121811859184968,stable_correct_vs_stable_hallucination,geometry,top2_weight_margin,0.31588138854540615,158,0.5759951362766396,192,0.8918765248220457
0.62620319092827,0.293560605691129,stable_correct_vs_stable_hallucination,geometry,top2_logprob_margin,0.16348983951759688,158,0.887503167882343,192,1.0509930073999398
0.629928138185654,0.2775377886110981,stable_correct_vs_stable_hallucination,geometry,top2_low_entropy_margin,0.15997606809096798,158,0.8871784325924178,192,1.0471545006833858
0.39604760021097046,-0.5763738638157715,stable_correct_vs_stable_hallucination,geometry,low_entropy_basin_rank,-0.3585838607594938,158,1.4367088607594938,192,1.078125
0.4010581487341772,-0.5772255620197384,stable_correct_vs_stable_hallucination,geometry,logprob_basin_rank,-0.2632515822784811,158,1.3101265822784811,192,1.046875
0.4508504746835443,-0.32865309174580937,stable_correct_vs_stable_hallucination,geometry,weight_basin_rank,-0.09533227848101267,158,1.1265822784810127,192,1.03125
0.44712552742616035,-0.400474925537021,stable_correct_vs_stable_hallucination,geometry,stable_basin_rank,-0.13218618143459904,158,1.1582278481012658,192,1.0260416666666667
0.4161392405063291,-0.21905617721520826,stable_correct_vs_stable_hallucination,lexical_shape,within_basin_lexical_entropy,-0.13108177590302006,158,2.2975653899280983,192,2.1664836140250783
0.5406118143459916,0.1360290223535917,stable_correct_vs_stable_hallucination,lexical_shape,within_basin_jaccard,0.026399578423227377,158,0.8762155192185811,192,0.9026150976418085
0.4966706223628692,-0.27248964185323904,stable_correct_vs_stable_hallucination,lexical_shape,internal_token_entropy_std,-0.016447923393065604,158,0.03749358567548113,192,0.021045662282415528
0.4966706223628692,-0.27248964185323904,stable_correct_vs_stable_hallucination,lexical_shape,token_mean_entropy_std,-0.016447923393065604,158,0.03749358567548113,192,0.021045662282415528
0.46121769514767935,-0.30744637010346443,stable_correct_vs_stable_hallucination,lexical_shape,logprob_avg_std,-0.014504280208919574,158,0.03322154693104943,192,0.018717266722129856
0.49546743143459915,-0.011564591805945218,stable_correct_vs_stable_hallucination,lexical_shape,lexical_pca_anisotropy,-0.005110365084111168,158,0.4215960399043909,192,0.4164856748202797
0.47465058016877637,-0.0791844440917519,stable_correct_vs_stable_hallucination,lexical_shape,lexical_effective_dim,-0.1249335600186402,158,0.9602985101036874,192,0.8353649500850472
0.46889833860759494,-0.14475446476865642,stable_correct_vs_stable_hallucination,lexical_shape,lexical_radius,-0.03455710797685885,158,0.17488555595603208,192,0.14032844797917324
0.27857990506329117,-0.67392411914852,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_auc_mean,-0.10377933487903335,158,0.263991396684008,192,0.16021206180497466
0.27614055907172996,-0.6971295577733998,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_max_mean,-0.9377291413018851,158,2.260369527312989,192,1.322640386011104
0.25962552742616035,-0.7610276231148771,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_std_mean,-0.24279824790495647,158,0.5753915424509591,192,0.33259329454600267
0.25286787974683544,-0.630715049356296,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_roughness,-0.17548655703954902,158,0.2718129451637675,192,0.09632638812421852
0.3718684071729958,-0.4054472202901817,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_late_minus_early_mean,-0.1347755706558504,158,0.17265996873359127,192,0.03788439807774085
0.4095464135021097,-0.20726922500017433,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_spike_count_mean,-0.4507254464285717,158,2.870833333333333,192,2.4201078869047614
0.41864451476793246,-0.25845440748923215,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_spike_frac_mean,-0.015487167422168852,158,0.11873363154222552,192,0.10324646412005667
0.3883834388185654,-0.39962596988961335,stable_correct_vs_stable_hallucination,waveform_functional,wf_entropy_max_pos_norm_mean,-0.11921679634224053,158,0.5936988666042631,192,0.47448207026202255
0.4819026898734177,-0.20833761590831246,stable_correct_vs_stable_hallucination,waveform_functional,wf_basin_entropy_curve_var,-0.05147174768235243,158,0.10383763733433733,192,0.0523658896519849
0.6970925632911392,0.7277628660070548,stable_correct_vs_stable_hallucination,waveform_functional,wf_prob_min_mean,0.1953202601734471,158,0.3615576384008123,192,0.5568778985742594
0.38479034810126583,-0.4019809228871434,stable_correct_vs_stable_hallucination,waveform_functional,wf_prob_drop,-0.048017585837258334,158,0.05535294862633058,192,0.0073353627890722405
0.5243934599156118,-0.24160326110993033,stable_correct_vs_stable_hallucination,waveform_functional,wf_basin_prob_curve_var,-0.003080936932819237,158,0.008612038131798165,192,0.005531101198978928
0.5052083333333334,0.03572807584572811,stable_correct_vs_stable_hallucination,waveform_functional,wf_local_instability_index,0.13423165718229946,158,9.029069536093562,192,9.163301193275862
0.41689741561181437,-0.2724749667766162,stable_correct_vs_stable_hallucination,sample0_delta,delta_cluster_weight_mass_vs_sample0,-0.041428409580677325,158,0.07091965312868151,192,0.029491243548004187
0.41208465189873417,-0.38707656042300326,stable_correct_vs_stable_hallucination,sample0_delta,delta_stable_score_vs_sample0,-0.056105654687229806,158,0.08578793866269112,192,0.029682283975461313
0.42342431434599154,-0.3244532141852847,stable_correct_vs_stable_hallucination,sample0_delta,delta_low_entropy_score_vs_sample0,-0.0925933293142472,158,0.12192743137306238,192,0.02933410205881518
0.584915611814346,0.39120480927781304,stable_correct_vs_stable_hallucination,sample0_delta,delta_centroid_entropy_z_vs_sample0,0.2469339388508669,158,-0.3447372137132882,192,-0.0978032748624213
0.43604957805907174,-0.4490924280547147,stable_correct_vs_stable_hallucination,sample0_delta,delta_centroid_logprob_z_vs_sample0,-0.2922317318228818,158,0.3898753512909324,192,0.0976436194680506
0.5069224683544303,0.09201581288641632,stable_correct_vs_stable_hallucination,sample0_delta,delta_wf_entropy_max_mean_vs_sample0,0.050985856847760844,158,-0.13268643090745064,192,-0.08170057405968979
0.5242286392405063,0.28120456694922347,stable_correct_vs_stable_hallucination,sample0_delta,delta_wf_entropy_roughness_vs_sample0,0.09579828008812658,158,-0.13585992247880563,192,-0.04006164239067906
0.44302149261603374,-0.2510005092002454,stable_correct_vs_stable_hallucination,sample0_delta,delta_wf_prob_min_mean_vs_sample0,-0.02455173725351402,158,0.038551853467448716,192,0.014000116213934696
0.3695938818565401,-0.5478205706680788,stable_correct_vs_stable_hallucination,sample0_delta,delta_distance_to_sample0_entropy_logprob_vs_sample0,-0.47427432612023035,158,0.646142924634832,192,0.17186859851460168
0.7973721251394275,1.481861185738545,pure_correct_vs_pure_wrong,stability,cluster_size,3.5191922947539886,804,1.9825870646766168,281,5.501779359430605
0.7971685168463731,1.4833770127911055,pure_correct_vs_pure_wrong,stability,cluster_weight_mass,0.4455580263315751,804,0.24642470493463836,281,0.6919827312662135
0.790234769214426,1.2665455553921785,pure_correct_vs_pure_wrong,stability,stable_score,0.2696217473729951,804,0.26364290691228337,281,0.5332646542852785
0.5098130344717693,-0.2853743456281859,pure_correct_vs_pure_wrong,stability,low_entropy_score,-0.12541700394176214,804,0.3320693586339896,281,0.20665235469222748
0.20625520086400737,-1.3292463481470858,pure_correct_vs_pure_wrong,stability,fragmentation_entropy,-0.8926141755878647,804,1.457199618671664,281,0.5645854430837993
0.21778120075777696,-1.4300634864305557,pure_correct_vs_pure_wrong,stability,normalized_fragmentation_entropy,-0.44809678713836554,804,0.8289617888580952,281,0.3808650017197297
0.2069346328853951,-1.3292463481470858,pure_correct_vs_pure_wrong,stability,semantic_entropy_weighted_set,-0.8926141755878647,804,1.457199618671664,281,0.5645854430837993
0.19833218250385085,-1.2516017419902559,pure_correct_vs_pure_wrong,stability,semantic_clusters_set,-2.8682388767904254,804,5.562189054726368,281,2.693950177935943
0.5090804872434979,-0.05361792279086981,pure_correct_vs_pure_wrong,geometry,centroid_entropy_z,-0.04824865140685835,804,0.09117383369261836,281,0.04292518228576001
0.5131548662382039,0.020792671966698324,pure_correct_vs_pure_wrong,geometry,centroid_max_entropy_z,0.015887348271336567,804,0.042801699898274245,281,0.05868904816961081
0.5212748534905544,0.15013997050243114,pure_correct_vs_pure_wrong,geometry,centroid_logprob_z,0.13176729140996982,804,-0.19311129403641042,281,-0.0613440026264406
0.5258228430799738,-0.10008343104572094,pure_correct_vs_pure_wrong,geometry,centroid_len_z,-0.08708227972277861,804,0.06779657425154813,281,-0.019285705471230485
0.2886036897363715,-0.6414997994499831,pure_correct_vs_pure_wrong,geometry,distance_to_sample0_entropy_logprob,-0.7575279162135121,804,1.3854125805135808,281,0.6278846643000687
0.7894291885766895,1.3230494845064387,pure_correct_vs_pure_wrong,geometry,top2_weight_margin,0.430183979354844,804,0.2676992056719998,281,0.6978831850268438
0.7493493387156743,0.7091652067873486,pure_correct_vs_pure_wrong,geometry,top2_logprob_margin,0.43032401348995675,804,0.569142421263959,281,0.9994664347539157
0.736446769710168,0.6302737298774678,pure_correct_vs_pure_wrong,geometry,top2_low_entropy_margin,0.38781346445738596,804,0.6242876993348688,281,1.0121011637922548
0.25900524070041253,-0.7950138453623222,pure_correct_vs_pure_wrong,geometry,low_entropy_basin_rank,-1.526438094226377,804,3.3022388059701493,281,1.7758007117437722
0.24645455994051096,-0.8216166766323979,pure_correct_vs_pure_wrong,geometry,logprob_basin_rank,-1.5721481560170676,804,3.31592039800995,281,1.7437722419928825
0.2329256741205007,-0.8712389871336691,pure_correct_vs_pure_wrong,geometry,weight_basin_rank,-1.6539632796869743,804,3.3407960199004973,281,1.686832740213523
0.2323989483189037,-0.8836281348652887,pure_correct_vs_pure_wrong,geometry,stable_basin_rank,-1.6754882172766061,804,3.3445273631840795,281,1.6690391459074734
0.3858996830792656,-0.36597800368713823,pure_correct_vs_pure_wrong,lexical_shape,within_basin_lexical_entropy,-0.17747040966722105,804,2.379563981132763,281,2.202093571465542
0.43513747986048407,-0.25098145714580267,pure_correct_vs_pure_wrong,lexical_shape,within_basin_jaccard,-0.035901029840454846,804,0.9631856580138226,281,0.9272846281733678
0.6581438890954481,0.15969938877945083,pure_correct_vs_pure_wrong,lexical_shape,internal_token_entropy_std,0.009256483582762917,804,0.011267028302810893,281,0.02052351188557381
0.6581438890954481,0.15969938877945083,pure_correct_vs_pure_wrong,lexical_shape,token_mean_entropy_std,0.009256483582762917,804,0.011267028302810893,281,0.02052351188557381
0.6258144331722172,0.1766193380583268,pure_correct_vs_pure_wrong,lexical_shape,logprob_avg_std,0.00885536510339849,804,0.01013422241797963,281,0.01898958752137812
0.6320864538517378,0.6632532204927395,pure_correct_vs_pure_wrong,lexical_shape,lexical_pca_anisotropy,0.2188695793903298,804,0.10524773149215594,281,0.32411731088248574
0.6253518882456047,0.339095272830903,pure_correct_vs_pure_wrong,lexical_shape,lexical_effective_dim,0.3281559968591049,804,0.22809046130114843,281,0.5562464581602533
0.6243825357199766,0.3412905406047406,pure_correct_vs_pure_wrong,lexical_shape,lexical_radius,0.05635221725328479,804,0.046221447505837565,281,0.10257366475912236
0.21687824224075353,-0.9413557238397995,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_auc_mean,-0.20899598572542002,804,0.43005654492936424,281,0.2210605592039442
0.18750110656681007,-1.2052640454300787,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_max_mean,-1.8763733330931942,804,3.6914712932791307,281,1.8150979601859365
0.18700093836865495,-1.1833350029032343,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_std_mean,-0.4553755618677193,804,0.9059403587854582,281,0.4505647969177389
0.17666560436252898,-0.8739764130453676,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_roughness,-0.6889536946107468,804,0.9225804652889242,281,0.2336267706781774
0.3998645562224465,-0.2672096503647051,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_late_minus_early_mean,-0.17627687363156533,804,0.2254834759965118,281,0.049206602364946485
0.4047865653936722,-0.27700895424102767,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_spike_count_mean,-0.5970475901714938,804,3.269454809286899,281,2.672407219115405
0.46807112126201733,-0.10199178843574591,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_spike_frac_mean,-0.005053397915979238,804,0.11215165667049164,281,0.1070982587545124
0.42135850994139623,-0.2330484611488004,pure_correct_vs_pure_wrong,waveform_functional,wf_entropy_max_pos_norm_mean,-0.071094591819721,804,0.5538690221156362,281,0.48277443029591516
0.7273419379968485,0.08342801833782598,pure_correct_vs_pure_wrong,waveform_functional,wf_basin_entropy_curve_var,0.01672397798819785,804,0.034464055264820506,281,0.05118803325301836
0.8216391352844319,1.3680250057702315,pure_correct_vs_pure_wrong,waveform_functional,wf_prob_min_mean,0.3036392603182706,804,0.1236990437290944,281,0.427338304047365
0.3901311945610028,-0.274667828921526,pure_correct_vs_pure_wrong,waveform_functional,wf_prob_drop,-0.052638829777551244,804,0.05400321267814617,281,0.0013643829005949312
0.7342557674262141,0.15016897235303478,pure_correct_vs_pure_wrong,waveform_functional,wf_basin_prob_curve_var,0.0016804242714776917,804,0.0028157967015942156,281,0.004496220973071907
0.45879587825994583,-0.06832658822583887,pure_correct_vs_pure_wrong,waveform_functional,wf_local_instability_index,-0.23487024667933554,804,9.411377882169432,281,9.176507635490097
0.5452231723942564,0.23698932273295512,pure_correct_vs_pure_wrong,sample0_delta,delta_cluster_weight_mass_vs_sample0,0.053399432822324,804,-0.07621135731533521,281,-0.022811924493011213
0.5276022025105788,0.10801624554618391,pure_correct_vs_pure_wrong,sample0_delta,delta_stable_score_vs_sample0,0.02482983391935611,804,-0.04697866796622037,281,-0.022148834046864258
0.47870744144048444,-0.10322029764955927,pure_correct_vs_pure_wrong,sample0_delta,delta_low_entropy_score_vs_sample0,-0.06109501247947809,804,0.04397993437320112,281,-0.017115078106276972
0.527405233618385,0.07490719885675859,pure_correct_vs_pure_wrong,sample0_delta,delta_centroid_entropy_z_vs_sample0,0.0921954651265722,804,-0.04042479936601808,281,0.05177066576055413
0.501068943538535,0.010515965273964084,pure_correct_vs_pure_wrong,sample0_delta,delta_centroid_logprob_z_vs_sample0,0.012415002560829377,804,-0.10833185110776963,281,-0.09591684854694026
0.5180879410775305,0.07283269108213639,pure_correct_vs_pure_wrong,sample0_delta,delta_wf_entropy_max_mean_vs_sample0,0.07463159128678303,804,-0.060549077315724176,281,0.014082513971058848
