question_id,qwen_sample0_correct,n_seeds,teacher_greedy_correct,teacher_latency_ms,teacher_completion_tokens,y_score,y_true
trivia_qa_0,0.0,2,0.0,3568.002700805664,62.0,0.999988317489624,0.0
trivia_qa_1,1.0,2,1.0,13230.318784713745,212.0,1.2474856703192929e-08,1.0
trivia_qa_10,0.0,2,0.0,3762.6514434814453,65.0,0.678932249546051,0.0
trivia_qa_100,0.0,2,1.0,10444.538831710815,180.0,0.0010991933522745,0.0
trivia_qa_101,1.0,2,1.0,6538.13362121582,113.0,0.9999209642410278,1.0
trivia_qa_102,0.5,2,1.0,5579.598426818848,79.0,0.7866954207420349,1.0
trivia_qa_103,0.0,2,0.0,14816.627264022827,256.0,0.1603928655385971,0.0
trivia_qa_104,0.0,2,1.0,2510.327100753784,44.0,0.3740262985229492,0.0
trivia_qa_105,1.0,2,1.0,5208.396673202515,91.0,0.8444061875343323,1.0
trivia_qa_106,0.0,2,0.0,10277.75263786316,179.0,5.845097295065216e-09,0.0
trivia_qa_107,0.0,2,1.0,4957.038402557373,86.0,0.1679212003946304,0.0
trivia_qa_108,1.0,2,1.0,3071.666479110718,48.0,1.0,1.0
trivia_qa_109,1.0,2,1.0,3995.48602104187,70.0,1.0,1.0
trivia_qa_11,0.0,2,0.0,4004.94647026062,69.0,0.962177276611328,0.0
trivia_qa_110,1.0,2,1.0,3492.4535751342773,61.0,1.0,1.0
trivia_qa_111,0.0,2,0.0,12659.581899642944,219.0,2.347771699273693e-10,0.0
trivia_qa_112,1.0,2,1.0,4490.407466888428,78.0,1.0,1.0
trivia_qa_113,0.0,2,0.0,5399.96600151062,94.0,1.9467507304544301e-13,0.0
trivia_qa_114,0.0,2,1.0,5732.791185379028,99.0,0.0003307739971205,0.0
trivia_qa_115,0.0,2,1.0,5678.82776260376,84.0,6.729060260113329e-07,0.0
trivia_qa_116,1.0,2,1.0,3419.886589050293,59.0,1.0,1.0
trivia_qa_117,1.0,2,1.0,3909.6362590789795,68.0,0.989990234375,1.0
trivia_qa_118,1.0,2,1.0,14646.14725112915,256.0,1.0,1.0
trivia_qa_119,0.0,2,0.0,11211.205244064331,176.0,8.327321054935053e-10,0.0
trivia_qa_12,1.0,2,1.0,4908.934593200684,66.0,1.0,1.0
trivia_qa_120,1.0,2,1.0,4077.18563079834,71.0,0.7749232053756714,1.0
trivia_qa_121,0.0,2,0.0,14703.351736068726,256.0,6.638054228470455e-14,0.0
trivia_qa_122,1.0,2,1.0,4793.065786361694,83.0,0.1487374007701873,1.0
trivia_qa_123,0.0,2,1.0,3761.2521648406982,66.0,0.9999843835830688,0.0
trivia_qa_124,0.0,2,1.0,4809.48805809021,84.0,0.0589470118284225,0.0
trivia_qa_125,0.0,2,0.0,5617.874383926392,97.0,0.0001297968119615,0.0
trivia_qa_126,0.0,2,1.0,15682.130575180054,256.0,5.530391422592373e-11,0.0
trivia_qa_127,0.0,2,1.0,4293.376207351685,74.0,0.002366870176047,0.0
trivia_qa_128,1.0,2,1.0,3974.9350547790527,69.0,0.999841809272766,1.0
trivia_qa_129,1.0,2,1.0,3149.761915206909,55.0,0.4879339933395386,1.0
trivia_qa_13,1.0,2,1.0,3406.5279960632324,59.0,0.9779986143112184,1.0
trivia_qa_130,0.0,2,0.0,14825.79755783081,256.0,6.081612582420348e-07,0.0
trivia_qa_131,0.0,2,1.0,6580.455303192139,115.0,0.0008156309486366,0.0
trivia_qa_132,0.0,2,1.0,8146.963596343994,142.0,4.227749286656035e-06,0.0
trivia_qa_133,0.0,2,0.0,14731.390714645386,256.0,1.0636767001415136e-05,0.0
trivia_qa_134,0.0,2,0.0,14816.914081573486,256.0,0.8627234101295471,0.0
trivia_qa_135,0.0,2,0.0,14636.232137680054,256.0,3.597685344081114e-11,0.0
trivia_qa_136,0.0,2,0.0,11880.918502807617,206.0,0.8135496377944946,0.0
trivia_qa_137,0.0,2,1.0,15596.026420593262,256.0,0.1187931299209594,0.0
trivia_qa_138,0.0,2,0.0,15305.352687835693,256.0,8.000829332388548e-09,0.0
trivia_qa_139,1.0,2,1.0,3322.9081630706787,57.0,1.0,1.0
trivia_qa_14,1.0,2,1.0,2964.1242027282715,48.0,1.0,1.0
trivia_qa_140,0.5,2,1.0,6425.98557472229,111.0,3.814282536040992e-06,0.0
trivia_qa_141,0.0,2,0.0,6823.976039886475,119.0,7.327246009936061e-08,0.0
trivia_qa_142,0.0,2,0.0,10739.01629447937,170.0,4.352739502166969e-09,0.0
trivia_qa_143,0.0,2,0.0,17593.172550201416,256.0,3.8508259081471146e-11,0.0
trivia_qa_144,1.0,2,1.0,6239.620923995972,108.0,2.1166366082070454e-07,1.0
trivia_qa_145,0.0,2,1.0,14867.1555519104,256.0,0.015947863459587,0.0
trivia_qa_146,0.0,2,1.0,3324.409008026123,58.0,4.270742977041664e-07,0.0
trivia_qa_147,0.0,2,0.0,4251.6233921051025,74.0,0.9999996423721312,0.0
trivia_qa_148,1.0,2,1.0,2251.0130405426025,39.0,0.9999849796295166,1.0
trivia_qa_149,1.0,2,1.0,3652.2412300109863,63.0,0.9876528978347778,1.0
trivia_qa_15,0.0,2,0.0,14430.628299713135,249.0,0.9933784604072572,0.0
trivia_qa_150,0.0,2,0.0,15813.675880432129,256.0,0.9922934770584106,0.0
trivia_qa_151,0.0,2,0.0,11189.25929069519,195.0,1.170896157809409e-09,0.0
trivia_qa_152,1.0,2,1.0,3462.601661682129,60.0,0.9999998807907104,1.0
trivia_qa_153,0.5,2,0.0,2091.69864654541,36.0,0.9481531977653505,0.0
trivia_qa_154,0.0,2,1.0,4167.067050933838,72.0,0.9999890327453612,0.0
trivia_qa_155,1.0,2,1.0,2363.283395767212,41.0,1.0,1.0
trivia_qa_156,0.0,2,1.0,6452.7294635772705,111.0,3.0928563887755445e-07,0.0
trivia_qa_157,1.0,2,1.0,2941.4799213409424,51.0,1.0,1.0
trivia_qa_158,0.0,2,0.0,7916.398763656616,137.0,1.2551068721222691e-05,0.0
trivia_qa_159,1.0,2,1.0,14565.481901168823,194.0,0.9999887943267822,1.0
trivia_qa_16,1.0,2,1.0,2722.6603031158447,47.0,0.0007228091126307,1.0
trivia_qa_160,0.0,2,0.0,13901.840448379517,225.0,0.367290735244751,0.0
trivia_qa_161,1.0,2,1.0,3135.0815296173096,54.0,0.9185000061988832,1.0
trivia_qa_162,1.0,2,1.0,2972.7604389190674,52.0,1.0,1.0
trivia_qa_163,1.0,2,1.0,4531.2840938568115,78.0,0.0008669440867379,1.0
trivia_qa_164,0.5,2,1.0,6156.372785568237,76.0,0.911253809928894,1.0
trivia_qa_165,1.0,2,1.0,3220.6382751464844,56.0,0.6748035550117493,1.0
trivia_qa_166,1.0,2,1.0,3356.4038276672363,41.0,0.2652181684970855,1.0
trivia_qa_167,0.0,2,0.0,7047.048807144165,103.0,0.0004552082682494,0.0
trivia_qa_168,1.0,2,0.0,3374.342441558838,59.0,0.986619472503662,1.0
trivia_qa_169,1.0,2,1.0,15000.082969665527,256.0,0.0547394230961799,1.0
trivia_qa_17,1.0,2,1.0,15817.642211914062,256.0,0.9999845027923584,1.0
trivia_qa_170,0.0,2,1.0,15737.396001815796,256.0,2.1852669007671466e-08,0.0
trivia_qa_171,1.0,2,1.0,5753.702402114868,99.0,0.9671808481216432,1.0
trivia_qa_172,0.0,2,1.0,15716.699123382568,256.0,0.0138956354930996,0.0
trivia_qa_173,0.0,2,1.0,8038.25306892395,102.0,0.0051725478842854,0.0
trivia_qa_174,0.0,2,0.0,10322.530269622803,163.0,7.437517268726879e-10,0.0
trivia_qa_175,1.0,2,1.0,5687.165021896362,99.0,3.626805846579373e-05,1.0
trivia_qa_176,1.0,2,1.0,3271.958112716675,57.0,0.997768759727478,1.0
trivia_qa_177,0.5,2,1.0,2065.7641887664795,36.0,0.999915361404419,0.0
trivia_qa_178,0.5,2,0.0,17498.07095527649,256.0,0.9985949397087096,1.0
trivia_qa_179,0.0,2,0.0,16921.492338180542,256.0,0.4721998274326324,0.0
trivia_qa_18,0.0,2,1.0,3708.4426879882812,65.0,5.4137663241249365e-09,0.0
trivia_qa_180,0.0,2,1.0,4569.509506225586,79.0,4.9699174269335344e-05,0.0
trivia_qa_181,1.0,2,1.0,3413.5818481445312,59.0,6.235498783979665e-09,1.0
trivia_qa_182,0.5,2,1.0,5392.866849899292,93.0,1.0,0.0
trivia_qa_183,1.0,2,1.0,5826.479911804199,102.0,0.070228636264801,1.0
trivia_qa_184,0.0,2,0.0,7517.887115478516,130.0,0.997847318649292,0.0
trivia_qa_185,1.0,2,1.0,6133.826017379761,106.0,0.9741861820220948,1.0
trivia_qa_186,0.5,2,1.0,10798.471689224243,187.0,0.999991774559021,1.0
trivia_qa_187,1.0,2,1.0,1392.0717239379883,24.0,1.0,1.0
trivia_qa_188,1.0,2,1.0,4018.5744762420654,70.0,1.0,1.0
trivia_qa_189,0.0,2,1.0,6364.628553390503,110.0,0.5916996598243713,0.0
trivia_qa_19,1.0,2,1.0,2410.292625427246,42.0,0.5450140833854675,1.0
trivia_qa_190,1.0,2,1.0,4134.173154830933,65.0,0.0469135306775569,1.0
trivia_qa_191,1.0,2,1.0,2107.501983642578,37.0,1.0,1.0
trivia_qa_192,1.0,2,0.0,5141.918420791626,90.0,0.9993318915367126,1.0
trivia_qa_193,0.0,2,0.0,7342.6830768585205,92.0,4.375202991013794e-07,0.0
trivia_qa_194,0.0,2,0.0,10764.476299285889,170.0,0.9997959733009338,0.0
trivia_qa_195,0.0,2,0.0,15154.517650604248,256.0,3.3873748250812236e-10,0.0
trivia_qa_196,1.0,2,1.0,2745.9163665771484,48.0,0.9999921321868896,1.0
trivia_qa_197,1.0,2,1.0,9806.582927703857,159.0,1.0,1.0
trivia_qa_198,1.0,2,1.0,3090.5847549438477,36.0,1.0,1.0
trivia_qa_199,1.0,2,1.0,2689.1703605651855,47.0,1.0,1.0
trivia_qa_2,0.0,2,1.0,3607.7120304107666,45.0,0.0310630723834037,0.0
trivia_qa_20,1.0,2,1.0,3832.17716217041,66.0,0.9436710476875304,1.0
trivia_qa_200,1.0,2,1.0,2681.619167327881,47.0,0.7433862090110779,1.0
trivia_qa_201,0.0,2,1.0,8586.745023727417,131.0,4.886662168246403e-07,0.0
trivia_qa_202,0.0,2,0.0,14634.98044013977,256.0,1.9015610419614866e-08,0.0
trivia_qa_203,1.0,2,1.0,3524.9311923980713,61.0,0.9999942779541016,1.0
trivia_qa_204,0.0,2,0.0,3423.1314659118652,59.0,0.983145236968994,0.0
trivia_qa_205,1.0,2,0.0,13399.385929107666,216.0,0.630105197429657,1.0
trivia_qa_206,1.0,2,1.0,2797.168731689453,49.0,0.4059337377548218,1.0
trivia_qa_207,1.0,2,1.0,2891.284465789795,50.0,0.9857479929924012,1.0
trivia_qa_208,0.0,2,1.0,15833.391189575195,256.0,0.0058981124311685,0.0
trivia_qa_209,0.0,2,1.0,2738.654136657715,47.0,0.9999228715896606,0.0
trivia_qa_21,1.0,2,1.0,3789.684534072876,66.0,0.0002659517049323,1.0
trivia_qa_210,1.0,2,1.0,2664.3893718719482,46.0,1.0,1.0
trivia_qa_211,1.0,2,1.0,3234.8451614379883,38.0,0.9999871253967284,1.0
trivia_qa_212,0.5,2,1.0,5207.262992858887,73.0,0.9999487400054932,1.0
trivia_qa_213,1.0,2,1.0,2956.822156906128,51.0,1.0,1.0
trivia_qa_214,1.0,2,1.0,3411.19122505188,59.0,0.999996304512024,1.0
trivia_qa_215,1.0,2,1.0,3069.7789192199707,53.0,1.0,1.0
trivia_qa_216,1.0,2,1.0,2903.589963912964,50.0,1.0,1.0
trivia_qa_217,1.0,2,1.0,2797.168970108032,49.0,1.0,1.0
trivia_qa_218,0.0,2,1.0,11406.802892684937,199.0,0.0003606246027629,0.0
trivia_qa_219,1.0,2,0.0,3928.096055984497,68.0,0.9999990463256836,1.0
trivia_qa_22,0.0,2,1.0,2054.927110671997,36.0,7.98240051835819e-09,0.0
trivia_qa_220,0.0,2,1.0,5462.884426116943,95.0,0.9999997615814208,0.0
trivia_qa_221,1.0,2,1.0,3902.280569076538,68.0,0.9999997615814208,1.0
trivia_qa_222,1.0,2,1.0,3231.8010330200195,56.0,0.9999972581863404,1.0
trivia_qa_223,0.0,2,1.0,7918.72763633728,138.0,0.9991002082824708,0.0
trivia_qa_224,1.0,2,1.0,3045.3994274139404,43.0,1.0,1.0
trivia_qa_225,1.0,2,1.0,4559.916734695435,74.0,0.9588572978973388,1.0
trivia_qa_226,1.0,2,1.0,3379.98628616333,59.0,0.9999991655349731,1.0
trivia_qa_227,1.0,2,1.0,7197.733402252197,126.0,0.9132115840911864,1.0
trivia_qa_228,1.0,2,1.0,2401.808500289917,42.0,0.9999998807907104,1.0
trivia_qa_229,1.0,2,1.0,4704.616069793701,64.0,0.9998806715011596,1.0
trivia_qa_23,0.0,2,0.0,15839.662790298462,256.0,0.6926676034927368,0.0
trivia_qa_230,0.5,2,1.0,2366.830825805664,41.0,1.0,1.0
trivia_qa_231,1.0,2,0.0,6106.429815292358,89.0,1.0,1.0
trivia_qa_232,0.0,2,0.0,5252.674102783203,91.0,0.0064195357263088,0.0
trivia_qa_233,1.0,2,1.0,4563.730478286743,79.0,1.0,1.0
trivia_qa_234,0.0,2,1.0,2846.566915512085,50.0,0.7449941635131836,0.0
trivia_qa_235,1.0,2,1.0,2965.2650356292725,43.0,0.9999961853027344,1.0
trivia_qa_236,1.0,2,1.0,2996.5004920959473,52.0,1.0,1.0
trivia_qa_237,0.0,2,1.0,8752.560377120972,133.0,1.1482182316058245e-07,0.0
trivia_qa_238,1.0,2,1.0,7962.140798568726,139.0,0.9999083280563354,1.0
trivia_qa_239,1.0,2,1.0,4146.942615509033,72.0,0.9999898672103882,1.0
trivia_qa_24,1.0,2,1.0,3980.0655841827393,69.0,0.9999985694885254,1.0
trivia_qa_240,1.0,2,1.0,2925.389051437378,51.0,0.9999302625656128,1.0
trivia_qa_241,1.0,2,1.0,11406.000852584839,148.0,0.9253188967704772,1.0
trivia_qa_242,1.0,2,1.0,2292.292833328247,40.0,1.0,1.0
trivia_qa_243,0.0,2,0.0,4745.05090713501,84.0,0.9999849796295166,0.0
trivia_qa_244,1.0,2,1.0,3515.333652496338,61.0,0.999683141708374,1.0
trivia_qa_245,1.0,2,1.0,2575.36244392395,45.0,1.0,1.0
trivia_qa_246,1.0,2,1.0,2206.3403129577637,38.0,1.0,1.0
trivia_qa_247,1.0,2,1.0,5875.998020172119,103.0,1.0,1.0
trivia_qa_248,1.0,2,1.0,6044.197082519531,106.0,1.0,1.0
trivia_qa_249,1.0,2,1.0,5383.849143981934,94.0,1.0,1.0
trivia_qa_25,0.5,2,0.0,6846.776008605957,102.0,0.999996781349182,1.0
trivia_qa_250,1.0,2,1.0,1959.3229293823242,34.0,1.0,1.0
trivia_qa_251,1.0,2,1.0,15840.93976020813,256.0,0.9998528957366944,1.0
trivia_qa_252,1.0,2,1.0,6161.904573440552,101.0,1.0,1.0
trivia_qa_253,1.0,2,1.0,3729.0713787078857,65.0,0.9599336981773376,1.0
trivia_qa_254,1.0,2,1.0,3556.840419769287,62.0,0.9999995231628418,1.0
trivia_qa_255,0.0,2,1.0,2688.8973712921143,47.0,3.686705667860224e-06,0.0
trivia_qa_256,1.0,2,1.0,3689.7997856140137,46.0,0.999998927116394,1.0
trivia_qa_257,0.0,2,0.0,12078.480005264282,174.0,0.0004742146993521,0.0
trivia_qa_258,0.0,2,1.0,3577.522039413452,62.0,0.9958580136299132,0.0
trivia_qa_259,0.0,2,0.0,3857.635498046875,67.0,0.9999972581863404,0.0
trivia_qa_26,0.0,2,1.0,3888.007164001465,67.0,0.0360535271465778,0.0
trivia_qa_260,1.0,2,1.0,2783.5564613342285,48.0,1.0,1.0
trivia_qa_261,1.0,2,1.0,3507.972002029419,61.0,0.2037127614021301,1.0
trivia_qa_262,1.0,2,1.0,4989.426136016846,86.0,0.9999985694885254,1.0
trivia_qa_263,1.0,2,1.0,3091.4950370788574,54.0,1.0,1.0
trivia_qa_264,1.0,2,1.0,3978.7657260894775,56.0,0.4358603358268738,1.0
trivia_qa_265,1.0,2,0.0,4364.403009414673,76.0,0.6629021167755127,1.0
trivia_qa_266,1.0,2,1.0,2343.613862991333,41.0,1.0,1.0
trivia_qa_267,1.0,2,1.0,16177.337408065796,256.0,0.0119245685636997,1.0
trivia_qa_268,0.0,2,0.0,2685.210704803467,47.0,0.5845276117324829,0.0
trivia_qa_269,1.0,2,1.0,4115.988731384277,71.0,1.1714690117514692e-05,1.0
trivia_qa_27,1.0,2,1.0,14316.253423690796,250.0,0.4317252039909363,1.0
trivia_qa_270,0.5,2,1.0,2301.8808364868164,40.0,5.092142600915395e-07,0.0
trivia_qa_271,1.0,2,1.0,4993.868350982666,73.0,0.9395813941955566,1.0
trivia_qa_272,1.0,2,1.0,5021.187305450439,88.0,0.0025451425462961,1.0
trivia_qa_273,0.0,2,0.0,14753.237247467041,256.0,5.428272288554581e-06,0.0
trivia_qa_274,0.0,2,1.0,4190.062999725342,63.0,8.208556057098804e-11,0.0
trivia_qa_275,1.0,2,1.0,10491.333723068237,183.0,0.0077057071030139,1.0
trivia_qa_276,0.0,2,0.0,7160.6285572052,124.0,1.0,0.0
trivia_qa_277,1.0,2,1.0,2550.88472366333,44.0,0.999944806098938,1.0
trivia_qa_278,1.0,2,1.0,4138.961315155029,72.0,0.9180941581726074,1.0
trivia_qa_279,0.0,2,1.0,9443.263053894043,163.0,4.275024184607901e-05,0.0
trivia_qa_28,1.0,2,1.0,4195.4591274261475,73.0,1.0,1.0
trivia_qa_280,0.0,2,0.0,2775.3829956054688,48.0,0.3944741487503052,0.0
trivia_qa_281,0.0,2,1.0,4978.704214096069,70.0,0.9752804040908812,0.0
trivia_qa_282,1.0,2,1.0,4267.698526382446,54.0,0.9999953508377076,1.0
trivia_qa_283,1.0,2,1.0,2844.1247940063477,49.0,0.0036312704905867,1.0
trivia_qa_284,1.0,2,1.0,4177.300453186035,61.0,1.0,1.0
trivia_qa_285,0.0,2,1.0,14742.086172103882,256.0,0.8709754347801208,0.0
trivia_qa_286,1.0,2,1.0,2254.117965698242,39.0,0.0003869440115522,1.0
trivia_qa_287,1.0,2,1.0,2432.136058807373,42.0,0.974137842655182,1.0
trivia_qa_288,0.0,2,0.0,15734.860181808472,256.0,0.0045812907628715,0.0
trivia_qa_289,1.0,2,1.0,2289.682149887085,40.0,0.9999983310699464,1.0
trivia_qa_29,1.0,2,1.0,14600.295305252075,256.0,1.3009246231376892e-06,1.0
trivia_qa_290,0.0,2,0.0,3650.771141052246,64.0,6.366131088952899e-08,0.0
trivia_qa_291,0.0,2,0.0,6688.052177429199,114.0,0.0014726873487234,0.0
trivia_qa_292,0.0,2,1.0,6103.232383728027,88.0,2.3812919636156952e-08,0.0
trivia_qa_293,1.0,2,1.0,3530.9643745422363,50.0,1.0,1.0
trivia_qa_294,1.0,2,1.0,2519.458055496216,44.0,0.8524698615074158,1.0
trivia_qa_295,1.0,2,1.0,15833.428621292114,256.0,3.0383901616914955e-08,1.0
trivia_qa_296,1.0,2,1.0,2314.7525787353516,40.0,0.5294075608253479,1.0
trivia_qa_297,0.0,2,1.0,16072.09825515747,256.0,0.0406761579215526,0.0
trivia_qa_298,0.5,2,0.0,2485.842704772949,43.0,1.0,0.0
trivia_qa_299,0.0,2,1.0,6995.635747909546,103.0,0.9999994039535522,0.0
trivia_qa_3,0.0,2,1.0,4191.826581954956,68.0,3.223078248737465e-09,0.0
trivia_qa_30,0.0,2,1.0,2744.112491607666,48.0,0.022875452414155,0.0
trivia_qa_300,1.0,2,1.0,12766.366720199585,220.0,3.8704069381953823e-14,1.0
trivia_qa_301,1.0,2,1.0,2306.025743484497,40.0,1.0,1.0
trivia_qa_302,1.0,2,1.0,1976.290225982666,34.0,1.0,1.0
trivia_qa_303,1.0,2,1.0,3239.870548248291,56.0,0.6622483730316162,1.0
trivia_qa_304,1.0,2,0.0,14693.793058395386,256.0,0.8781257271766663,1.0
trivia_qa_305,0.0,2,0.0,15971.791505813599,256.0,5.236665856500623e-08,0.0
trivia_qa_306,0.0,2,0.0,6451.406002044678,112.0,0.1333379447460174,0.0
trivia_qa_307,1.0,2,1.0,3197.571039199829,56.0,1.0,1.0
trivia_qa_308,1.0,2,1.0,3073.577404022217,53.0,1.0,1.0
trivia_qa_309,1.0,2,1.0,3325.3250122070312,58.0,1.0,1.0
trivia_qa_31,0.0,2,0.0,14702.369451522827,256.0,1.216378677781904e-07,0.0
trivia_qa_310,1.0,2,1.0,3709.751605987549,53.0,1.0,1.0
trivia_qa_311,0.0,2,1.0,6883.853912353516,120.0,7.654119690414518e-05,0.0
trivia_qa_312,0.0,2,1.0,3591.5870666503906,49.0,0.0001576316863065,0.0
trivia_qa_313,0.0,2,1.0,5273.809432983398,91.0,5.226906978350598e-07,0.0
trivia_qa_314,0.0,2,1.0,14679.428815841675,256.0,0.0003148513205815,0.0
trivia_qa_315,1.0,2,1.0,7412.498235702515,127.0,0.999805986881256,1.0
trivia_qa_316,1.0,2,1.0,3599.695920944214,62.0,1.0,1.0
trivia_qa_317,0.0,2,1.0,3015.5563354492188,52.0,0.2328725606203079,0.0
trivia_qa_318,1.0,2,1.0,3556.779623031616,62.0,0.9999988079071044,1.0
trivia_qa_319,0.0,2,0.0,14821.359872817993,256.0,0.9854706525802612,0.0
trivia_qa_32,1.0,2,1.0,5056.715965270996,87.0,0.9808173179626464,1.0
trivia_qa_320,1.0,2,1.0,3450.037717819214,60.0,0.9745885133743286,1.0
trivia_qa_321,1.0,2,1.0,3063.866138458252,53.0,9.327184784524434e-07,1.0
trivia_qa_322,0.0,2,0.0,16034.021377563477,256.0,7.024998194538057e-05,0.0
