strategy,probe,threshold,cost,accuracy,frac_escalated,target_escalation_rate
always_qwen,,,1.0,0.328,0.0,
always_teacher,,,17.402853494808998,0.472,1.0,
probe_cascade,DCP_mlp,-0.9999999999998874,1.0,0.328,0.0,0.0
probe_cascade,DCP_mlp,4.3709737801433943e-10,1.1740285349480901,0.334,0.01,0.01
probe_cascade,DCP_mlp,2.5390894631271975e-09,1.3480570698961798,0.334,0.02,0.02
probe_cascade,DCP_mlp,7.974284503831086e-09,1.5220856048442697,0.338,0.03,0.03
probe_cascade,DCP_mlp,4.936184751613838e-08,1.6961141397923598,0.34,0.04,0.04
probe_cascade,DCP_mlp,4.6530394968158396e-07,1.87014267474045,0.344,0.05,0.05
probe_cascade,DCP_mlp,1.51467004116057e-06,2.04417120968854,0.348,0.06,0.06
probe_cascade,DCP_mlp,1.3329687626537684e-05,2.2181997446366295,0.352,0.07,0.07
probe_cascade,DCP_mlp,2.5104435262619518e-05,2.3922282795847196,0.35,0.08,0.08
probe_cascade,DCP_mlp,4.016128281364215e-05,2.5662568145328097,0.352,0.09,0.09
probe_cascade,DCP_mlp,8.725538355065518e-05,2.7402853494809,0.354,0.1,0.1
probe_cascade,DCP_mlp,0.000129346493485994,2.9143138844289895,0.354,0.11,0.11
probe_cascade,DCP_mlp,0.000221234167111056,3.0883424193770797,0.358,0.12,0.12
probe_cascade,DCP_mlp,0.000353519868804084,3.2623709543251698,0.354,0.13,0.13
probe_cascade,DCP_mlp,0.0005690833367407184,3.43639948927326,0.354,0.14,0.14
probe_cascade,DCP_mlp,0.0010072603647130593,3.6104280242213496,0.354,0.15,0.15
probe_cascade,DCP_mlp,0.0017039758292957334,3.7844565591694397,0.358,0.16,0.16
probe_cascade,DCP_mlp,0.0024772776919416914,3.958485094117529,0.356,0.17,0.17
probe_cascade,DCP_mlp,0.0033937502885236816,4.1325136290656195,0.356,0.18,0.18
probe_cascade,DCP_mlp,0.004601562162861204,4.30654216401371,0.358,0.19,0.19
probe_cascade,DCP_mlp,0.008774725906550823,4.4805706989618,0.362,0.2,0.2
probe_cascade,DCP_mlp,0.012046030629426224,4.65459923390989,0.364,0.21,0.21
probe_cascade,DCP_mlp,0.01746118366718285,4.828627768857979,0.368,0.22,0.22
probe_cascade,DCP_mlp,0.02563525328412645,5.002656303806069,0.37,0.23,0.23
probe_cascade,DCP_mlp,0.028859882727265335,5.176684838754159,0.372,0.24,0.24
probe_cascade,DCP_mlp,0.03838941175490615,5.350713373702249,0.372,0.25,0.25
probe_cascade,DCP_mlp,0.05298500649631027,5.5247419086503395,0.372,0.26,0.26
probe_cascade,DCP_mlp,0.0687862294912338,5.69877044359843,0.376,0.27,0.27
probe_cascade,DCP_mlp,0.07367860674858098,5.87279897854652,0.376,0.28,0.28
probe_cascade,DCP_mlp,0.09372793719172469,6.046827513494611,0.376,0.29,0.29
probe_cascade,DCP_mlp,0.1163414299488067,6.2208560484427,0.38,0.3,0.3
probe_cascade,DCP_mlp,0.12691394925117488,6.394884583390789,0.382,0.31,0.31
probe_cascade,DCP_mlp,0.14985159814357757,6.56891311833888,0.384,0.32,0.32
probe_cascade,DCP_mlp,0.1611825580894947,6.7429416532869695,0.39,0.33,0.33
probe_cascade,DCP_mlp,0.18534518063068403,6.916970188235059,0.39,0.34,0.34
probe_cascade,DCP_mlp,0.23357337340712542,7.090998723183149,0.392,0.35,0.35000000000000003
probe_cascade,DCP_mlp,0.2679389739036559,7.265027258131239,0.394,0.36,0.36
probe_cascade,DCP_mlp,0.3038273096084594,7.439055793079329,0.396,0.37,0.37
probe_cascade,DCP_mlp,0.4102970850467682,7.613084328027418,0.402,0.38,0.38
probe_cascade,DCP_mlp,0.45983528435230264,7.787112862975509,0.41,0.39,0.39
probe_cascade,DCP_mlp,0.5059252500534058,7.961141397923599,0.412,0.4,0.4
probe_cascade,DCP_mlp,0.5362500679492951,8.135169932871689,0.412,0.41,0.41000000000000003
probe_cascade,DCP_mlp,0.6037831735610962,8.309198467819778,0.414,0.42,0.42
probe_cascade,DCP_mlp,0.6272462743520736,8.483227002767869,0.412,0.43,0.43
probe_cascade,DCP_mlp,0.6602382802963257,8.657255537715958,0.41,0.44,0.44
probe_cascade,DCP_mlp,0.7055727183818817,8.83128407266405,0.41,0.45,0.45
probe_cascade,DCP_mlp,0.774407541751862,9.005312607612138,0.412,0.46,0.46
probe_cascade,DCP_mlp,0.8133627063035965,9.179341142560228,0.416,0.47,0.47000000000000003
probe_cascade,DCP_mlp,0.8190489482879638,9.35336967750832,0.416,0.48,0.48
probe_cascade,DCP_mlp,0.8447742104530335,9.52739821245641,0.422,0.49,0.49
probe_cascade,DCP_mlp,0.8674227893352509,9.7014267474045,0.426,0.5,0.5
probe_cascade,DCP_mlp,0.8774603885412217,9.875455282352588,0.424,0.51,0.51
probe_cascade,DCP_mlp,0.9058543753623963,10.049483817300679,0.428,0.52,0.52
probe_cascade,DCP_mlp,0.9135811787843705,10.223512352248768,0.428,0.53,0.53
probe_cascade,DCP_mlp,0.9306948590278625,10.397540887196858,0.428,0.54,0.54
probe_cascade,DCP_mlp,0.9417258918285373,10.571569422144949,0.428,0.55,0.55
probe_cascade,DCP_mlp,0.9489525198936464,10.74559795709304,0.428,0.56,0.56
probe_cascade,DCP_mlp,0.9587564408779145,10.91962649204113,0.432,0.57,0.5700000000000001
probe_cascade,DCP_mlp,0.9629352223873137,11.093655026989218,0.434,0.58,0.58
probe_cascade,DCP_mlp,0.9739252084493637,11.267683561937309,0.444,0.59,0.59
probe_cascade,DCP_mlp,0.9790278196334838,11.441712096885398,0.444,0.6,0.6
probe_cascade,DCP_mlp,0.9814681881666182,11.61574063183349,0.442,0.61,0.61
probe_cascade,DCP_mlp,0.9853330922126771,11.789769166781578,0.444,0.62,0.62
probe_cascade,DCP_mlp,0.9868372225761414,11.96379770172967,0.444,0.63,0.63
probe_cascade,DCP_mlp,0.9893918085098267,12.13782623667776,0.446,0.64,0.64
probe_cascade,DCP_mlp,0.9910773783922195,12.31185477162585,0.444,0.65,0.65
probe_cascade,DCP_mlp,0.9949649155139924,12.485883306573939,0.448,0.66,0.66
probe_cascade,DCP_mlp,0.9960741341114043,12.65991184152203,0.45,0.67,0.67
probe_cascade,DCP_mlp,0.9974701571464538,12.833940376470117,0.452,0.68,0.68
probe_cascade,DCP_mlp,0.9979478293657302,13.007968911418208,0.456,0.69,0.6900000000000001
probe_cascade,DCP_mlp,0.9983343958854675,13.181997446366298,0.456,0.7,0.7000000000000001
probe_cascade,DCP_mlp,0.998818706870079,13.356025981314387,0.458,0.71,0.71
probe_cascade,DCP_mlp,0.9989827895164488,13.530054516262478,0.458,0.72,0.72
probe_cascade,DCP_mlp,0.9992956554889679,13.704083051210567,0.458,0.73,0.73
probe_cascade,DCP_mlp,0.9993947815895081,13.878111586158658,0.458,0.74,0.74
probe_cascade,DCP_mlp,0.999520629644394,14.052140121106747,0.464,0.75,0.75
probe_cascade,DCP_mlp,0.9997087407112122,14.226168656054838,0.466,0.76,0.76
probe_cascade,DCP_mlp,0.9998095619678498,14.400197191002928,0.466,0.77,0.77
probe_cascade,DCP_mlp,0.9998742699623107,14.574225725951019,0.466,0.78,0.78
probe_cascade,DCP_mlp,0.9998880171775819,14.748254260899108,0.464,0.79,0.79
probe_cascade,DCP_mlp,0.9999212503433228,14.922282795847199,0.466,0.8,0.8
probe_cascade,DCP_mlp,0.99995161652565,15.096311330795288,0.462,0.81,0.81
probe_cascade,DCP_mlp,0.9999701309204102,15.270339865743377,0.468,0.82,0.8200000000000001
probe_cascade,DCP_mlp,0.9999796223640441,15.444368400691467,0.47,0.83,0.8300000000000001
probe_cascade,DCP_mlp,0.9999866199493408,15.618396935639558,0.472,0.84,0.84
probe_cascade,DCP_mlp,0.9999915897846222,15.792425470587649,0.47,0.85,0.85
probe_cascade,DCP_mlp,0.9999944806098939,15.96645400553574,0.47,0.86,0.86
probe_cascade,DCP_mlp,0.999996200799942,16.140482540483827,0.47,0.87,0.87
probe_cascade,DCP_mlp,0.9999990463256836,16.349316782421536,0.468,0.882,0.88
probe_cascade,DCP_mlp,0.9999995362758637,16.48853961038001,0.47,0.89,0.89
probe_cascade,DCP_mlp,0.9999997615814208,16.697373852317718,0.47,0.902,0.9
probe_cascade,DCP_mlp,0.9999998807907104,16.94101380124504,0.47,0.916,0.91
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.92
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.93
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.9400000000000001
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.9500000000000001
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.96
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.97
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.98
probe_cascade,DCP_mlp,1.0,18.402853494808998,0.472,1.0,0.99
probe_cascade,DCP_mlp,2.0,18.402853494808998,0.472,1.0,1.0
probe_cascade,SEPs_logreg,-0.9999995207636596,1.0,0.328,0.0,0.0
probe_cascade,SEPs_logreg,2.7033058673497096e-06,1.1740285349480901,0.332,0.01,0.01
probe_cascade,SEPs_logreg,1.2450456246158828e-05,1.3480570698961798,0.336,0.02,0.02
probe_cascade,SEPs_logreg,2.2973554828153976e-05,1.5220856048442697,0.336,0.03,0.03
probe_cascade,SEPs_logreg,3.989635594647691e-05,1.6961141397923598,0.336,0.04,0.04
probe_cascade,SEPs_logreg,5.5339750258869984e-05,1.87014267474045,0.338,0.05,0.05
probe_cascade,SEPs_logreg,6.856803002718047e-05,2.04417120968854,0.338,0.06,0.06
probe_cascade,SEPs_logreg,9.663681342000273e-05,2.2181997446366295,0.34,0.07,0.07
probe_cascade,SEPs_logreg,0.000210798045608108,2.3922282795847196,0.344,0.08,0.08
probe_cascade,SEPs_logreg,0.00027648199406712795,2.5662568145328097,0.346,0.09,0.09
probe_cascade,SEPs_logreg,0.00033934335224027,2.7402853494809,0.346,0.1,0.1
probe_cascade,SEPs_logreg,0.000539883178914751,2.9143138844289895,0.35,0.11,0.11
probe_cascade,SEPs_logreg,0.0007226934238308879,3.088342419377079,0.352,0.12,0.12
probe_cascade,SEPs_logreg,0.0011042908474005796,3.2623709543251693,0.356,0.13,0.13
probe_cascade,SEPs_logreg,0.001425320221010984,3.43639948927326,0.356,0.14,0.14
probe_cascade,SEPs_logreg,0.0022211608161242192,3.6104280242213496,0.354,0.15,0.15
probe_cascade,SEPs_logreg,0.003353975450519496,3.7844565591694397,0.358,0.16,0.16
probe_cascade,SEPs_logreg,0.004778768586634955,3.9584850941175294,0.36,0.17,0.17
probe_cascade,SEPs_logreg,0.006122759977629198,4.1325136290656195,0.362,0.18,0.18
probe_cascade,SEPs_logreg,0.008493373855336814,4.30654216401371,0.364,0.19,0.19
probe_cascade,SEPs_logreg,0.010439664563679672,4.4805706989618,0.362,0.2,0.2
probe_cascade,SEPs_logreg,0.011583659295671145,4.65459923390989,0.366,0.21,0.21
probe_cascade,SEPs_logreg,0.014825591920598577,4.828627768857979,0.368,0.22,0.22
probe_cascade,SEPs_logreg,0.01959146812430744,5.00265630380607,0.368,0.23,0.23
probe_cascade,SEPs_logreg,0.024757988219251903,5.176684838754159,0.368,0.24,0.24
probe_cascade,SEPs_logreg,0.0308210836730679,5.350713373702249,0.368,0.25,0.25
probe_cascade,SEPs_logreg,0.03684389809511514,5.5247419086503395,0.368,0.26,0.26
probe_cascade,SEPs_logreg,0.04276536737425237,5.69877044359843,0.366,0.27,0.27
probe_cascade,SEPs_logreg,0.04712146591587386,5.87279897854652,0.366,0.28,0.28
probe_cascade,SEPs_logreg,0.05291525572062695,6.04682751349461,0.37,0.29,0.29
probe_cascade,SEPs_logreg,0.059973758135456766,6.2208560484427,0.372,0.3,0.3
probe_cascade,SEPs_logreg,0.06806139332438792,6.394884583390789,0.37,0.31,0.31
probe_cascade,SEPs_logreg,0.07655386623562885,6.56891311833888,0.37,0.32,0.32
probe_cascade,SEPs_logreg,0.08933400998050947,6.7429416532869695,0.376,0.33,0.33
probe_cascade,SEPs_logreg,0.10384505144019324,6.916970188235059,0.376,0.34,0.34
probe_cascade,SEPs_logreg,0.1108085033580761,7.090998723183149,0.38,0.35,0.35000000000000003
probe_cascade,SEPs_logreg,0.12400564089711667,7.265027258131239,0.386,0.36,0.36
probe_cascade,SEPs_logreg,0.1388352055804104,7.439055793079329,0.386,0.37,0.37
probe_cascade,SEPs_logreg,0.16558948658295633,7.613084328027419,0.39,0.38,0.38
probe_cascade,SEPs_logreg,0.18793433442915897,7.787112862975509,0.39,0.39,0.39
probe_cascade,SEPs_logreg,0.2109299973276733,7.961141397923599,0.394,0.4,0.4
probe_cascade,SEPs_logreg,0.2398907517797442,8.135169932871689,0.398,0.41,0.41000000000000003
probe_cascade,SEPs_logreg,0.3000212106634281,8.30919846781978,0.396,0.42,0.42
probe_cascade,SEPs_logreg,0.32468803594555923,8.483227002767869,0.396,0.43,0.43
probe_cascade,SEPs_logreg,0.3728584115521137,8.657255537715958,0.396,0.44,0.44
probe_cascade,SEPs_logreg,0.41735635956827716,8.83128407266405,0.398,0.45,0.45
probe_cascade,SEPs_logreg,0.46143189445558014,9.00531260761214,0.402,0.46,0.46
probe_cascade,SEPs_logreg,0.501153278423683,9.17934114256023,0.402,0.47,0.47000000000000003
probe_cascade,SEPs_logreg,0.5497370435572951,9.353369677508319,0.406,0.48,0.48
probe_cascade,SEPs_logreg,0.5872214756567863,9.527398212456408,0.408,0.49,0.49
probe_cascade,SEPs_logreg,0.6112748774554726,9.701426747404499,0.41,0.5,0.5
probe_cascade,SEPs_logreg,0.6488949847160153,9.875455282352588,0.412,0.51,0.51
probe_cascade,SEPs_logreg,0.6754742262141447,10.049483817300679,0.418,0.52,0.52
probe_cascade,SEPs_logreg,0.7177707408967339,10.223512352248768,0.42,0.53,0.53
probe_cascade,SEPs_logreg,0.733924535396826,10.397540887196858,0.422,0.54,0.54
probe_cascade,SEPs_logreg,0.778991471001811,10.571569422144949,0.428,0.55,0.55
probe_cascade,SEPs_logreg,0.8079156568877186,10.74559795709304,0.428,0.56,0.56
probe_cascade,SEPs_logreg,0.8560096815179037,10.919626492041129,0.43,0.57,0.5700000000000001
probe_cascade,SEPs_logreg,0.8818120641734222,11.093655026989218,0.43,0.58,0.58
probe_cascade,SEPs_logreg,0.9041172598696845,11.267683561937309,0.432,0.59,0.59
probe_cascade,SEPs_logreg,0.9136930357437902,11.4417120968854,0.432,0.6,0.6
probe_cascade,SEPs_logreg,0.927596087112514,11.61574063183349,0.434,0.61,0.61
probe_cascade,SEPs_logreg,0.9354380234884478,11.789769166781578,0.438,0.62,0.62
probe_cascade,SEPs_logreg,0.9431624439588412,11.96379770172967,0.44,0.63,0.63
probe_cascade,SEPs_logreg,0.9508714060573337,12.137826236677759,0.44,0.64,0.64
probe_cascade,SEPs_logreg,0.9626566456004227,12.311854771625848,0.442,0.65,0.65
probe_cascade,SEPs_logreg,0.9727921330043591,12.485883306573939,0.442,0.66,0.66
probe_cascade,SEPs_logreg,0.9770386536967944,12.659911841522028,0.444,0.67,0.67
probe_cascade,SEPs_logreg,0.9820600892235564,12.833940376470116,0.446,0.68,0.68
probe_cascade,SEPs_logreg,0.983443709032582,13.007968911418207,0.452,0.69,0.6900000000000001
